ID individuo;Codigo poblacion;Linaje;V_Largo;V_alto;V_ancho;Peso;Area_branquial;Area de palpos;Densidad de filamentos 
PL11;PL;fluminea;21,55666667;19,94;14,29;2,1757;160,771563;19,813964;26,60153307
PL12;PL;fluminea;13,12666667;11,45;8,47;0,4251;65,578956;9,375284;25,11029555
PL13;PL;fluminea;17,49333333;15,67;11,53;1,3521;114,779399;17,591244;27,28769313
PL14;PL;fluminea;13,44;11,2;8,5;0,498;69,900802;7,297006;22,77722666
PL15;PL;fluminea;19,42333333;18,47;12,92;1,8071;133,902637;23,373684;31,21497948
PL16;PL;fluminea;22,44333333;21,2;15,42;2,7689;199,273443;33,304746;27,29958495
PL17;PL;fluminea;22,03;20,49;14,61;2,5521;183,958565;21,276652;22,20228269
PL18;PL;fluminea;18,89;17,38;12,49;1,6379;153,839017;12,752208;24,58382247
PL19;PL;fluminea;22,25666667;20,51;14,59;2,3178;171,837446;24,925698;26,61490829
PL20;PL;fluminea;17,01666667;16,11;11,64;1,1647;104,599785;14,693156;27,78923526
PL21;PL;fluminea;19,08333333;18,26;13,11;1,935;138,466423;22,731898;28,879412
PL22;PL;fluminea;16,62666667;14,66;10,7;1,0957;88,701086;12,231622;26,87435224
PL23;PL;fluminea;13,83;11,79;9,45;0,6129;63,860486;8,83819;30,39840631
PL24;PL;fluminea;16,61666667;14,47;10,77;1,1519;104,164645;12,540668;26,63475311
PL25;PL;fluminea;12,52666667;10,87;8,19;0,4437;50,552857;7,664078;30,55112419
PL26;PL;fluminea;14,82666667;13,02;9,57;0,7805;76,327027;12,18868;28,43949731
PL27;PL;fluminea;14,20333333;12,59;9,55;0,7196;72,139452;8,922448;25,44513575
PL28;PL;fluminea;14,275;12,23;9,33;0,6755;;;
PL29;PL;fluminea;18,90666667;17,31;12,63;1,5219;134,127568;16,96435;24,76053863
PL30;PL;fluminea;22,68333333;21,09;14,97;2,6352;194,177058;27,430934;24,79532975
MOL1;MOL;largillierti;21,61;19,32;11,62;1,1645;162,246658;19,179858;30,41956746
MOL2;MOL;largillierti;20,3;17,92;11,17;1,1266;149,039407;22,85772;30,61606059
MOL3;MOL;largillierti;20,16;18,26;11,31;1,068;154,076531;19,014186;28,08090947
MOL4;MOL;largillierti;20,02;18,14;11,05;1,0453;144,860467;20,451774;30,6828318
MOL5;MOL;largillierti;19,97;17,48;11,11;0,9519;159,830842;18,387368;22,81534787
MOL6;MOL;largillierti;19,83;17,96;10,83;1,0064;141,730709;19,421652;34,42226589
MOL7;MOL;largillierti;19,32;17,24;10,38;0,8335;126,055879;17,065646;28,59877639
MOL8;MOL;largillierti;19,05;16,86;10,32;0,9242;133,041728;15,98391;33,31284551
MOL9;MOL;largillierti;18,28;16,69;10,19;0,8509;131,454791;18,027664;25,42296127
MOL10;MOL;largillierti;18,18;16,07;9,9;0,7218;129,157186;16,534906;31,91434278
